p(the | <s>) = 0.04022112085398399
p(you | since) = 0.012166859791425259
p(interested | are) = 0.005832449628844114
p(in | interested) = 0.018065268065268064
p(these | in) = 0.0037722908093278463
p(little | these) = 0.006373117033603708
p(problems | little) = 0.006159014557670772
p(and | problems) = 0.006485849056603773
p(since | and) = 0.002984264785675529
p(good | are) = 0.005832449628844114
p(enough | good) = 0.017070484581497795
p(to | enough) = 0.01796060254924681
p(chronicle | to) = 0.003093363329583802
p(one | chronicle) = 0.006485849056603773
p(or | one) = 0.011075949367088606
p(two | or) = 0.0112540192926045
p(of | two) = 0.006193693693693694
p(trifling | my) = 0.004790940766550522
p(experiences | trifling) = 0.006485849056603773
p(you | experiences) = 0.006485849056603773
p(may | you) = 0.0265321375186846
p(be | may) = 0.00580168776371308
p(interested | be) = 0.005198487712665407
p(he | this) = 0.005566801619433198
p(threw | he) = 0.004407051282051282
p(over | threw) = 0.00641025641025641
p(a | over) = 0.006193693693693694
p(sheet | a) = 0.006024096385542168
p(of | sheet) = 0.0123094958968347
p(thick | of) = 0.003102086858432036
p(pink | thick) = 0.00641025641025641
p(tinted | pink) = 0.006485849056603773
p(notepaper | tinted) = 0.006485849056603773
p(which | notepaper) = 0.006485849056603773
p(had | which) = 0.01919475655430711
p(been | had) = 0.045992714025500904
p(lying | been) = 0.005652620760534429
p(open | lying) = 0.006485849056603773
p(upon | open) = 0.006193693693693694
p(obviously | <s>) = 0.0020968356843309188
p(they | obviously) = 0.006485849056603773
p(have | they) = 0.005991285403050109
p(caused | been) = 0.005652620760534429
p(by | caused) = 0.006485849056603773
p(someone | by) = 0.005681818181818182
p(who | someone) = 0.006447831184056271
p(has | who) = 0.005711318795430945
p(very | has) = 0.005926724137931034
p(carelessly | very) = 0.00580168776371308
p(scraped | carelessly) = 0.006485849056603773
p(round | scraped) = 0.006485849056603773
p(the | round) = 0.012237762237762236
p(edges | the) = 0.002133436772692009
p(of | edges) = 0.006485849056603773
p(sole | the) = 0.002133436772692009
p(in | sole) = 0.006485849056603773
p(order | in) = 0.0037722908093278463
p(to | order) = 0.006485849056603773
p(remove | to) = 0.003093363329583802
p(crusted | remove) = 0.006485849056603773
p(mud | crusted) = 0.006485849056603773
p(from | mud) = 0.006485849056603773
p(it | from) = 0.005376344086021505
p(</s> | it) = 0.01742993848257006
p(capital | a) = 0.003155479059093517
p(mistake | capital) = 0.006485849056603773
p(to | mistake) = 0.006485849056603773
p(theorise | to) = 0.003093363329583802
p(before | theorise) = 0.006485849056603773
p(one | before) = 0.006193693693693694
p(has | one) = 0.00580168776371308
p(data | has) = 0.005926724137931034
p(</s> | data) = 0.006447831184056271
p(alarm | the) = 0.004072924747866563
p(of | alarm) = 0.012166859791425259
p(fire | of) = 0.014382402707275801
p(was | fire) = 0.006193693693693694
p(admirably | was) = 0.004110612855007474
p(done | admirably) = 0.006447831184056271
p(</s> | done) = 0.006447831184056271
p(that | <s>) = 0.00972169271826153
p(very | is) = 0.008801341156747694
p(bad | very) = 0.00580168776371308
p(</s> | bad) = 0.006447831184056271
p(whistled | holmes) = 0.005350194552529183
p(</s> | whistled) = 0.006485849056603773
p(call | shall) = 0.006228765571913929
p(with | call) = 0.006228765571913929
p(to | king) = 0.006024096385542168
p(morrow | to) = 0.008717660292463441
p(and | morrow) = 0.00641025641025641
p(with | and) = 0.002984264785675529
p(you | with) = 0.009519492293744334
p(if | you) = 0.004110612855007474
p(care | you) = 0.004110612855007474
p(with | come) = 0.0063364055299539165
p(us | with) = 0.004986400725294651
p(</s> | us) = 0.006264236902050114
p(did | <s>) = 0.0020968356843309188
p(i | did) = 0.006300114547537227
p(not | i) = 0.0030170049369171695
p(tell | not) = 0.014378478664192949
p(how | you) = 0.004110612855007474
p(quick | how) = 0.005958829902491874
p(and | quick) = 0.006485849056603773
p(resolute | and) = 0.002984264785675529
p(she | resolute) = 0.006485849056603773
p(was | she) = 0.022309711286089235
p(</s> | was) = 0.004110612855007474
p(at | <s>) = 0.00972169271826153
p(his | at) = 0.009831460674157303
p(fall | his) = 0.004424778761061947
p(the | fall) = 0.006485849056603773
p(guardsmen | the) = 0.002133436772692009
p(took | guardsmen) = 0.006447831184056271
p(to | took) = 0.006300114547537227
p(their | to) = 0.003093363329583802
p(heels | their) = 0.006300114547537227
p(in | heels) = 0.006485849056603773
p(direction | one) = 0.00580168776371308
p(and | direction) = 0.006485849056603773
p(loungers | the) = 0.002133436772692009
p(in | loungers) = 0.006485849056603773
p(while | other) = 0.01195899772209567
p(a | while) = 0.006300114547537227
p(number | a) = 0.003155479059093517
p(of | number) = 0.006485849056603773
p(better | of) = 0.003102086858432036
p(dressed | better) = 0.0063364055299539165
p(people | dressed) = 0.006373117033603708
p(who | people) = 0.006447831184056271
p(watched | had) = 0.005009107468123861
p(the | watched) = 0.006447831184056271
p(scuffle | the) = 0.002133436772692009
p(without | scuffle) = 0.006485849056603773
p(taking | without) = 0.006159014557670772
p(part | taking) = 0.006447831184056271
p(in | part) = 0.006228765571913929
p(it | in) = 0.0037722908093278463
p(crowded | it) = 0.0037593984962406017
p(in | crowded) = 0.006485849056603773
p(to | in) = 0.0037722908093278463
p(help | to) = 0.005905511811023622
p(the | help) = 0.0063364055299539165
p(and | lady) = 0.006264236902050114
p(attend | to) = 0.003093363329583802
p(to | attend) = 0.006485849056603773
p(what | <s>) = 0.00972169271826153
p(was | what) = 0.010903426791277258
p(relation | the) = 0.002133436772692009
p(between | relation) = 0.006485849056603773
p(them | between) = 0.006373117033603708
p(and | them) = 0.01765375854214123
p(what | and) = 0.008410200759631037
p(the | what) = 0.005711318795430945
p(object | the) = 0.002133436772692009
p(of | object) = 0.006447831184056271
p(repeated | his) = 0.004424778761061947
p(visits | repeated) = 0.006485849056603773
p(</s> | visits) = 0.006485849056603773
p(</s> | yet) = 0.011692650334075723
p(both | is) = 0.004610226320201173
p(or | both) = 0.0063364055299539165
p(none | or) = 0.0058949624866023575
p(said | none) = 0.006300114547537227
p(he | said) = 0.025940996948118
p(same | the) = 0.004072924747866563
p(instant | same) = 0.006447831184056271
p(i | instant) = 0.00641025641025641
p(him | saw) = 0.012027491408934707
p(raise | him) = 0.005741127348643006
p(his | raise) = 0.006447831184056271
p(and | hand) = 0.006300114547537227
p(at | and) = 0.0056972327726532825
p(signal | the) = 0.004072924747866563
p(i | signal) = 0.006447831184056271
p(tossed | i) = 0.0030170049369171695
p(my | tossed) = 0.006485849056603773
p(rocket | my) = 0.004790940766550522
p(into | rocket) = 0.006373117033603708
p(with | room) = 0.005958829902491874
p(cry | a) = 0.003155479059093517
p(of | cry) = 0.0123094958968347
p(the | fire) = 0.006193693693693694
p(word | the) = 0.002133436772692009
p(was | word) = 0.006373117033603708
p(no | was) = 0.004110612855007474
p(sooner | no) = 0.00605726872246696
p(out | sooner) = 0.006485849056603773
p(mouth | my) = 0.004790940766550522
p(than | mouth) = 0.006485849056603773
p(the | than) = 0.006159014557670772
p(crowd | whole) = 0.006373117033603708
p(of | crowd) = 0.006447831184056271
p(spectators | of) = 0.003102086858432036
p(well | spectators) = 0.006485849056603773
p(dressed | well) = 0.011758118701007838
p(and | dressed) = 0.006373117033603708
p(ill | and) = 0.002984264785675529
p(gentlemen | ill) = 0.006447831184056271
p(ostlers | gentlemen) = 0.006485849056603773
p(and | ostlers) = 0.006485849056603773
p(servant | and) = 0.002984264785675529
p(maids | servant) = 0.00641025641025641
p(joined | maids) = 0.006485849056603773
p(in | joined) = 0.006485849056603773
p(general | a) = 0.003155479059093517
p(shriek | general) = 0.006447831184056271
p(of | shriek) = 0.006485849056603773
p(thick | fire) = 0.006193693693693694
p(clouds | thick) = 0.00641025641025641
p(of | clouds) = 0.006485849056603773
p(smoke | of) = 0.003102086858432036
p(curled | smoke) = 0.00641025641025641
p(through | curled) = 0.006485849056603773
p(and | room) = 0.011375947995666305
p(out | and) = 0.002984264785675529
p(at | out) = 0.011134676564156945
p(open | the) = 0.002133436772692009
p(window | open) = 0.006193693693693694
p(</s> | window) = 0.01765375854214123
p(seldom | <s>) = 0.0020968356843309188
p(goes | seldom) = 0.00641025641025641
p(out | goes) = 0.006485849056603773
p(other | at) = 0.005149812734082397
p(times | other) = 0.006264236902050114
p(except | times) = 0.006373117033603708
p(when | except) = 0.006485849056603773
p(she | when) = 0.016179540709812108
p(sings | she) = 0.004811898512685914
p(</s> | sings) = 0.006485849056603773
p(seems | it) = 0.0037593984962406017
p(that | seems) = 0.006447831184056271
p(there | that) = 0.01591614906832298
p(had | there) = 0.005566801619433198
p(some | been) = 0.005652620760534429
p(informality | some) = 0.006090808416389811
p(about | informality) = 0.006485849056603773
p(their | about) = 0.006264236902050114
p(license | their) = 0.006300114547537227
p(that | license) = 0.006485849056603773
p(the | that) = 0.01979813664596273
p(clergyman | the) = 0.004072924747866563
p(absolutely | clergyman) = 0.006373117033603708
p(refused | absolutely) = 0.00641025641025641
p(to | refused) = 0.006485849056603773
p(marry | to) = 0.003093363329583802
p(them | marry) = 0.006447831184056271
p(without | them) = 0.006264236902050114
p(a | without) = 0.006159014557670772
p(witness | a) = 0.003155479059093517
p(of | witness) = 0.006485849056603773
p(sort | some) = 0.006090808416389811
p(and | sort) = 0.006447831184056271
p(my | that) = 0.008152173913043478
p(lucky | my) = 0.004790940766550522
p(appearance | lucky) = 0.006485849056603773
p(saved | appearance) = 0.006447831184056271
p(the | saved) = 0.006485849056603773
p(bridegroom | the) = 0.002133436772692009
p(from | bridegroom) = 0.006485849056603773
p(having | from) = 0.005376344086021505
p(to | having) = 0.006447831184056271
p(sally | to) = 0.003093363329583802
p(out | sally) = 0.006485849056603773
p(into | out) = 0.005832449628844114
p(streets | the) = 0.002133436772692009
p(in | streets) = 0.006447831184056271
p(search | in) = 0.0037722908093278463
p(of | search) = 0.006485849056603773
p(best | a) = 0.003155479059093517
p(man | best) = 0.006373117033603708
p(all | was) = 0.007847533632286996
p(done | all) = 0.005741127348643006
p(in | done) = 0.006447831184056271
p(instant | an) = 0.010960334029227557
p(and | instant) = 0.012237762237762236
p(there | and) = 0.002984264785675529
p(gentleman | the) = 0.004072924747866563
p(thanking | gentleman) = 0.006228765571913929
p(me | thanking) = 0.006485849056603773
p(on | me) = 0.010416666666666666
p(one | the) = 0.002133436772692009
p(side | one) = 0.00580168776371308
p(and | side) = 0.006373117033603708
p(on | lady) = 0.006264236902050114
p(the | while) = 0.012027491408934707
p(beamed | clergyman) = 0.006373117033603708
p(on | beamed) = 0.006485849056603773
p(me | on) = 0.010903426791277258
p(in | me) = 0.0302579365079365
p(</s> | front) = 0.006300114547537227
p(old | an) = 0.005741127348643006
p(trick | old) = 0.00641025641025641
p(that | trick) = 0.006485849056603773
p(also | that) = 0.004270186335403727
p(i | also) = 0.00641025641025641
p(fathom | could) = 0.006024096385542168
p(then | fathom) = 0.006485849056603773
p(they | then) = 0.005595116988809766
p(carried | they) = 0.005991285403050109
p(me | carried) = 0.006485849056603773
p(</s> | in) = 0.007201646090534979
p(stay | <s>) = 0.0020968356843309188
p(where | stay) = 0.006447831184056271
p(you | where) = 0.006264236902050114
p(</s> | are) = 0.005832449628844114
p(she | <s>) = 0.02115897826915745
p(is | she) = 0.017935258092738403
p(daintiest | the) = 0.002133436772692009
p(thing | daintiest) = 0.006485849056603773
p(under | thing) = 0.006485849056603773
p(a | under) = 0.0063364055299539165
p(bonnet | a) = 0.003155479059093517
p(on | bonnet) = 0.006485849056603773
p(this | on) = 0.005711318795430945
p(planet | this) = 0.005566801619433198
p(</s> | planet) = 0.006485849056603773
p(is | photograph) = 0.011314655172413791
p(in | is) = 0.012992455993294216
p(recess | a) = 0.003155479059093517
p(behind | recess) = 0.006485849056603773
p(a | behind) = 0.006447831184056271
p(sliding | a) = 0.003155479059093517
p(panel | sliding) = 0.006447831184056271
p(just | panel) = 0.006485849056603773
p(above | just) = 0.006124721603563474
p(the | above) = 0.006485849056603773
p(right | the) = 0.006012412723041117
p(bell | right) = 0.0063364055299539165
p(</s> | pull) = 0.00641025641025641
p(you | i) = 0.0030170049369171695
p(will | you) = 0.015321375186846037
p(excuse | will) = 0.005681818181818182
p(this | excuse) = 0.006485849056603773
p(mask | this) = 0.005566801619433198
p(continued | mask) = 0.006373117033603708
p(our | continued) = 0.006485849056603773
p(strange | our) = 0.011692650334075723
p(visitor | strange) = 0.012237762237762236
p(</s> | visitor) = 0.0063364055299539165
p(walked | i) = 0.0030170049369171695
p(round | walked) = 0.00641025641025641
p(it | round) = 0.00641025641025641
p(and | it) = 0.0037593984962406017
p(examined | and) = 0.002984264785675529
p(it | examined) = 0.006485849056603773
p(closely | it) = 0.0037593984962406017
p(from | closely) = 0.006447831184056271
p(every | from) = 0.005376344086021505
p(point | every) = 0.00641025641025641
p(of | point) = 0.00641025641025641
p(view | of) = 0.003102086858432036
p(but | view) = 0.006485849056603773
p(without | but) = 0.0052231718898385565
p(noting | without) = 0.006159014557670772
p(anything | noting) = 0.006485849056603773
p(else | anything) = 0.006447831184056271
p(of | else) = 0.00641025641025641
p(interest | of) = 0.003102086858432036
p(</s> | interest) = 0.006485849056603773
p(her | that) = 0.004270186335403727
p(word | her) = 0.005376344086021505
p(is | word) = 0.006373117033603708
p(inviolate | is) = 0.004610226320201173
p(</s> | inviolate) = 0.006485849056603773
p(not | was) = 0.02279521674140508
p(merely | not) = 0.00510204081632653
p(that | merely) = 0.006447831184056271
p(holmes | that) = 0.004270186335403727
p(changed | holmes) = 0.005350194552529183
p(his | changed) = 0.006485849056603773
p(costume | his) = 0.004424778761061947
p(</s> | costume) = 0.006447831184056271
p(rooms | his) = 0.004424778761061947
p(were | rooms) = 0.006447831184056271
p(brilliantly | were) = 0.005771248688352571
p(lit | brilliantly) = 0.006485849056603773
p(and | lit) = 0.006447831184056271
p(even | and) = 0.002984264785675529
p(as | even) = 0.006373117033603708
p(looked | i) = 0.0030170049369171695
p(up | looked) = 0.006300114547537227
p(i | up) = 0.005741127348643006
p(his | saw) = 0.006300114547537227
p(tall | his) = 0.004424778761061947
p(spare | tall) = 0.006485849056603773
p(figure | spare) = 0.006447831184056271
p(pass | figure) = 0.00641025641025641
p(twice | pass) = 0.006485849056603773
p(in | twice) = 0.0063364055299539165
p(dark | a) = 0.003155479059093517
p(silhouette | dark) = 0.00641025641025641
p(against | silhouette) = 0.006485849056603773
p(blind | the) = 0.002133436772692009
p(</s> | blind) = 0.006485849056603773
p(present | at) = 0.009831460674157303
p(it | present) = 0.006373117033603708
p(not | is) = 0.012992455993294216
p(too | not) = 0.00510204081632653
p(to | much) = 0.0063364055299539165
p(say | to) = 0.003093363329583802
p(that | say) = 0.0063364055299539165
p(of | is) = 0.004610226320201173
p(such | of) = 0.005922165820642978
p(weight | such) = 0.006264236902050114
p(it | weight) = 0.006485849056603773
p(may | it) = 0.0037593984962406017
p(have | may) = 0.00580168776371308
p(an | have) = 0.005032021957913998
p(influence | an) = 0.005741127348643006
p(upon | influence) = 0.006447831184056271
p(european | upon) = 0.005832449628844114
p(history | european) = 0.006485849056603773
p(i | history) = 0.006485849056603773
p(promise | i) = 0.0030170049369171695
p(said | promise) = 0.006485849056603773
p(asked | that) = 0.004270186335403727
p(holmes | asked) = 0.006300114547537227
p(seldom | have) = 0.005032021957913998
p(heard | seldom) = 0.00641025641025641
p(him | heard) = 0.01189127972819932
p(mention | him) = 0.005741127348643006
p(her | mention) = 0.006485849056603773
p(under | her) = 0.005376344086021505
p(any | under) = 0.0063364055299539165
p(other | any) = 0.00641025641025641
p(name | other) = 0.006264236902050114
p(</s> | name) = 0.006373117033603708
p(was | <s>) = 0.004003049942813572
p(she | was) = 0.004110612855007474
p(his | she) = 0.004811898512685914
p(client | his) = 0.008447304907481898
p(his | client) = 0.006300114547537227
p(friend | his) = 0.004424778761061947
p(or | friend) = 0.006264236902050114
p(his | or) = 0.0058949624866023575
p(mistress | his) = 0.004424778761061947
p(</s> | mistress) = 0.006447831184056271
p(lay | it) = 0.0037593984962406017
p(between | lay) = 0.006447831184056271
p(and | that) = 0.004270186335403727
p(her | and) = 0.002984264785675529
p(bedroom | her) = 0.005376344086021505
p(and | bedroom) = 0.006485849056603773
p(determined | was) = 0.004110612855007474
p(to | determined) = 0.006485849056603773
p(which | see) = 0.006159014557670772
p(</s> | which) = 0.005149812734082397
p(</s> | indeed) = 0.011758118701007838
p(heavy | <s>) = 0.0020968356843309188
p(bands | heavy) = 0.006373117033603708
p(of | bands) = 0.006485849056603773
p(astrakhan | of) = 0.003102086858432036
p(were | astrakhan) = 0.006485849056603773
p(slashed | were) = 0.005771248688352571
p(across | slashed) = 0.006485849056603773
p(the | across) = 0.00641025641025641
p(sleeves | the) = 0.002133436772692009
p(and | sleeves) = 0.006485849056603773
p(fronts | and) = 0.002984264785675529
p(of | fronts) = 0.006485849056603773
p(double | his) = 0.004424778761061947
p(breasted | double) = 0.00641025641025641
p(coat | breasted) = 0.006485849056603773
p(while | coat) = 0.006485849056603773
p(blue | deep) = 0.00641025641025641
p(cloak | blue) = 0.006447831184056271
p(which | cloak) = 0.006447831184056271
p(was | which) = 0.01919475655430711
p(thrown | was) = 0.004110612855007474
p(over | thrown) = 0.006485849056603773
p(his | over) = 0.011824324324324323
p(shoulders | his) = 0.004424778761061947
p(was | shoulders) = 0.006447831184056271
p(lined | was) = 0.004110612855007474
p(with | lined) = 0.006485849056603773
p(flame | with) = 0.004986400725294651
p(coloured | flame) = 0.006485849056603773
p(silk | coloured) = 0.006485849056603773
p(and | silk) = 0.006485849056603773
p(secured | and) = 0.002984264785675529
p(at | secured) = 0.006485849056603773
p(neck | the) = 0.002133436772692009
p(with | neck) = 0.006485849056603773
p(brooch | a) = 0.003155479059093517
p(which | brooch) = 0.006485849056603773
p(consisted | which) = 0.005149812734082397
p(of | consisted) = 0.006485849056603773
p(single | a) = 0.003155479059093517
p(flaming | single) = 0.006485849056603773
p(beryl | flaming) = 0.006485849056603773
p(</s> | beryl) = 0.006485849056603773
p(la | <s>) = 0.0020968356843309188
p(scala | la) = 0.006485849056603773
p(hum | scala) = 0.006485849056603773
p(</s> | hum) = 0.0123094958968347
p(your | to) = 0.005905511811023622
p(practice | your) = 0.005511022044088176
p(if | practice) = 0.006447831184056271
p(a | if) = 0.005771248688352571
p(walks | gentleman) = 0.006228765571913929
p(into | walks) = 0.006485849056603773
p(my | into) = 0.01626442812172088
p(rooms | my) = 0.004790940766550522
p(smelling | rooms) = 0.006447831184056271
p(of | smelling) = 0.006485849056603773
p(iodoform | of) = 0.003102086858432036
p(with | iodoform) = 0.006485849056603773
p(black | a) = 0.003155479059093517
p(mark | black) = 0.006447831184056271
p(of | mark) = 0.006485849056603773
p(nitrate | of) = 0.003102086858432036
p(of | nitrate) = 0.006485849056603773
p(silver | of) = 0.003102086858432036
p(upon | silver) = 0.006485849056603773
p(his | upon) = 0.005832449628844114
p(right | his) = 0.004424778761061947
p(forefinger | right) = 0.0063364055299539165
p(and | forefinger) = 0.006485849056603773
p(bulge | a) = 0.003155479059093517
p(on | bulge) = 0.006485849056603773
p(side | right) = 0.012096774193548387
p(of | side) = 0.006373117033603708
p(top | his) = 0.004424778761061947
p(hat | top) = 0.006447831184056271
p(to | hat) = 0.006447831184056271
p(show | to) = 0.005905511811023622
p(where | show) = 0.006447831184056271
p(he | where) = 0.006264236902050114
p(has | he) = 0.008413461538461538
p(secreted | has) = 0.005926724137931034
p(his | secreted) = 0.006485849056603773
p(stethoscope | his) = 0.004424778761061947
p(i | stethoscope) = 0.006485849056603773
p(dull | be) = 0.005198487712665407
p(indeed | dull) = 0.006485849056603773
p(if | indeed) = 0.006159014557670772
p(pronounce | not) = 0.00510204081632653
p(him | pronounce) = 0.006485849056603773
p(to | him) = 0.010960334029227557
p(an | be) = 0.005198487712665407
p(active | an) = 0.005741127348643006
p(member | active) = 0.006485849056603773
p(of | member) = 0.006485849056603773
p(medical | the) = 0.002133436772692009
p(profession | medical) = 0.006485849056603773
p(i | profession) = 0.006485849056603773
p(not | could) = 0.033406352683461114
p(help | not) = 0.00510204081632653
p(laughing | help) = 0.0063364055299539165
p(at | laughing) = 0.00641025641025641
p(ease | the) = 0.002133436772692009
p(with | ease) = 0.006485849056603773
p(explained | he) = 0.004407051282051282
p(his | explained) = 0.006485849056603773
p(process | his) = 0.004424778761061947
p(of | process) = 0.006485849056603773
p(deduction | of) = 0.003102086858432036
p(</s> | deduction) = 0.006447831184056271
p(hear | i) = 0.0030170049369171695
p(the | hear) = 0.006447831184056271
p(rumble | the) = 0.002133436772692009
p(of | rumble) = 0.006485849056603773
p(wheels | of) = 0.003102086858432036
p(</s> | wheels) = 0.00641025641025641
p(paper | the) = 0.002133436772692009
p(was | paper) = 0.0063364055299539165
p(made | was) = 0.004110612855007474
p(in | made) = 0.006228765571913929
p(bohemia | in) = 0.010631001371742112
p(i | bohemia) = 0.01755379388448471
p(said | i) = 0.0030170049369171695
p(</s> | said) = 0.010681586978636826
p(knows | she) = 0.004811898512685914
p(that | knows) = 0.006485849056603773
p(is | king) = 0.006024096385542168
p(capable | is) = 0.004610226320201173
p(of | capable) = 0.006485849056603773
p(having | of) = 0.003102086858432036
p(her | having) = 0.006447831184056271
p(waylaid | her) = 0.005376344086021505
p(and | waylaid) = 0.006447831184056271
p(searched | and) = 0.002984264785675529
p(</s> | searched) = 0.006485849056603773
p(really | have) = 0.005032021957913998
p(got | really) = 0.00641025641025641
p(it | got) = 0.006447831184056271
p(he | it) = 0.0037593984962406017
p(cried | he) = 0.012419871794871794
p(grasping | cried) = 0.006300114547537227
p(sherlock | grasping) = 0.006485849056603773
p(by | holmes) = 0.005350194552529183
p(either | by) = 0.005681818181818182
p(shoulder | either) = 0.00641025641025641
p(and | shoulder) = 0.006485849056603773
p(looking | and) = 0.002984264785675529
p(eagerly | looking) = 0.006373117033603708
p(into | eagerly) = 0.006485849056603773
p(his | into) = 0.01626442812172088
p(face | his) = 0.012469831053901849
p(</s> | face) = 0.012027491408934707
p(rush | would) = 0.0058949624866023575
p(to | rush) = 0.006485849056603773
p(secure | to) = 0.003093363329583802
p(it | secure) = 0.006447831184056271
p(eglow | <s>) = 0.0020968356843309188
p(eglonitz | eglow) = 0.006485849056603773
p(here | eglonitz) = 0.006485849056603773
p(we | here) = 0.006447831184056271
p(are | we) = 0.015768056968463885
p(egria | are) = 0.005832449628844114
p(</s> | egria) = 0.006485849056603773
p(own | my) = 0.030923344947735187
p(complete | own) = 0.005958829902491874
p(happiness | complete) = 0.006447831184056271
p(and | happiness) = 0.006485849056603773
p(home | the) = 0.002133436772692009
p(centred | home) = 0.00641025641025641
p(interests | centred) = 0.006485849056603773
p(which | interests) = 0.006485849056603773
p(rise | which) = 0.005149812734082397
p(up | rise) = 0.006485849056603773
p(around | up) = 0.005741127348643006
p(the | around) = 0.006485849056603773
p(first | who) = 0.005711318795430945
p(finds | first) = 0.006485849056603773
p(himself | finds) = 0.006485849056603773
p(master | himself) = 0.0063364055299539165
p(of | master) = 0.006485849056603773
p(establishment | own) = 0.005958829902491874
p(were | establishment) = 0.006485849056603773
p(sufficient | were) = 0.005771248688352571
p(to | sufficient) = 0.006485849056603773
p(absorb | to) = 0.003093363329583802
p(all | absorb) = 0.006485849056603773
p(my | all) = 0.005741127348643006
p(attention | my) = 0.009146341463414634
p(while | attention) = 0.00641025641025641
p(holmes | while) = 0.006300114547537227
p(who | holmes) = 0.005350194552529183
p(loathed | who) = 0.005711318795430945
p(every | loathed) = 0.006485849056603773
p(form | every) = 0.00641025641025641
p(of | form) = 0.006485849056603773
p(society | of) = 0.003102086858432036
p(with | society) = 0.006485849056603773
p(his | with) = 0.009519492293744334
p(whole | his) = 0.008447304907481898
p(bohemian | whole) = 0.006373117033603708
p(soul | bohemian) = 0.00641025641025641
p(remained | soul) = 0.0063364055299539165
p(in | remained) = 0.006485849056603773
p(our | in) = 0.0037722908093278463
p(lodgings | our) = 0.006124721603563474
p(in | lodgings) = 0.006485849056603773
p(baker | in) = 0.0037722908093278463
p(buried | street) = 0.005991285403050109
p(among | buried) = 0.006485849056603773
p(his | among) = 0.006447831184056271
p(old | his) = 0.004424778761061947
p(books | old) = 0.00641025641025641
p(and | books) = 0.006485849056603773
p(alternating | and) = 0.002984264785675529
p(from | alternating) = 0.006485849056603773
p(week | from) = 0.005376344086021505
p(to | week) = 0.006447831184056271
p(week | to) = 0.003093363329583802
p(between | week) = 0.006447831184056271
p(cocaine | between) = 0.006373117033603708
p(and | cocaine) = 0.006485849056603773
p(ambition | and) = 0.002984264785675529
p(the | ambition) = 0.006485849056603773
p(drowsiness | the) = 0.002133436772692009
p(of | drowsiness) = 0.006485849056603773
p(drug | the) = 0.002133436772692009
p(and | drug) = 0.006447831184056271
p(fierce | the) = 0.002133436772692009
p(energy | fierce) = 0.006485849056603773
p(of | energy) = 0.006485849056603773
p(keen | own) = 0.005958829902491874
p(nature | keen) = 0.006485849056603773
p(</s> | nature) = 0.00641025641025641
p(group | a) = 0.003155479059093517
p(of | group) = 0.006485849056603773
p(shabbily | of) = 0.003102086858432036
p(dressed | shabbily) = 0.006485849056603773
p(men | dressed) = 0.006373117033603708
p(smoking | men) = 0.006264236902050114
p(and | smoking) = 0.006485849056603773
p(laughing | and) = 0.002984264785675529
p(in | laughing) = 0.00641025641025641
p(corner | a) = 0.003155479059093517
p(a | corner) = 0.0063364055299539165
p(scissors | a) = 0.003155479059093517
p(grinder | scissors) = 0.006485849056603773
p(with | grinder) = 0.006485849056603773
p(wheel | his) = 0.004424778761061947
p(two | wheel) = 0.006485849056603773
p(guardsmen | two) = 0.006193693693693694
p(who | guardsmen) = 0.006447831184056271
p(were | who) = 0.010903426791277258
p(flirting | were) = 0.005771248688352571
p(with | flirting) = 0.006485849056603773
p(nurse | a) = 0.003155479059093517
p(girl | nurse) = 0.006485849056603773
p(and | girl) = 0.006447831184056271
p(several | and) = 0.002984264785675529
p(well | several) = 0.006447831184056271
p(young | dressed) = 0.006373117033603708
p(men | young) = 0.00641025641025641
p(who | men) = 0.006264236902050114
p(lounging | were) = 0.005771248688352571
p(up | lounging) = 0.006447831184056271
p(with | down) = 0.0058949624866023575
p(cigars | with) = 0.004986400725294651
p(in | cigars) = 0.006447831184056271
p(their | in) = 0.0037722908093278463
p(mouths | their) = 0.006300114547537227
p(</s> | mouths) = 0.006485849056603773
p(recent | your) = 0.005511022044088176
p(services | recent) = 0.006485849056603773
p(to | services) = 0.006485849056603773
p(one | to) = 0.003093363329583802
p(royal | the) = 0.004072924747866563
p(houses | royal) = 0.006447831184056271
p(of | houses) = 0.006485849056603773
p(europe | of) = 0.003102086858432036
p(have | europe) = 0.006447831184056271
p(shown | have) = 0.005032021957913998
p(that | shown) = 0.00641025641025641
p(one | are) = 0.005832449628844114
p(who | one) = 0.00580168776371308
p(may | who) = 0.005711318795430945
p(safely | may) = 0.00580168776371308
p(be | safely) = 0.006485849056603773
p(trusted | be) = 0.005198487712665407
p(with | trusted) = 0.006485849056603773
p(matters | with) = 0.004986400725294651
p(which | matters) = 0.006447831184056271
p(are | which) = 0.009831460674157303
p(of | are) = 0.005832449628844114
p(an | of) = 0.003102086858432036
p(importance | an) = 0.005741127348643006
p(which | importance) = 0.006373117033603708
p(can | which) = 0.005149812734082397
p(hardly | can) = 0.006300114547537227
p(be | hardly) = 0.00641025641025641
p(exaggerated | be) = 0.005198487712665407
p(</s> | exaggerated) = 0.006485849056603773
p(hum | <s>) = 0.0020968356843309188
p(love | i) = 0.0030170049369171695
p(and | love) = 0.0063364055299539165
p(am | and) = 0.002984264785675529
p(loved | am) = 0.005991285403050109
p(by | loved) = 0.006485849056603773
p(better | a) = 0.003155479059093517
p(man | better) = 0.0063364055299539165
p(than | man) = 0.00580168776371308
p(he | than) = 0.006159014557670772
